generation,vote_counts,winner_idx
154,"[2, 47, 51, 0]",2
155,"[48, 0, 49, 3]",2
156,"[2, 49, 2, 47]",1
157,"[44, 0, 0, 56]",3
158,"[44, 0, 2, 54]",3
159,"[51, 44, 0, 5]",0
160,"[47, 0, 4, 49]",3
161,"[3, 44, 51, 2]",2
162,"[9, 44, 0, 47]",3
163,"[53, 0, 43, 4]",0
164,"[0, 0, 53, 47]",2
165,"[53, 43, 0, 4]",0
166,"[4, 49, 47, 0]",1
167,"[49, 0, 2, 49]",0
168,"[3, 49, 0, 48]",1
169,"[51, 0, 44, 5]",0
170,"[47, 49, 0, 4]",1
171,"[51, 6, 0, 43]",0
172,"[0, 4, 47, 49]",3
173,"[3, 44, 51, 2]",2
174,"[0, 51, 0, 49]",1
175,"[47, 3, 0, 50]",3
176,"[49, 49, 0, 2]",0
177,"[2, 49, 2, 47]",1
178,"[4, 49, 4, 43]",1
179,"[0, 51, 0, 49]",1
180,"[0, 51, 0, 49]",1
181,"[2, 0, 51, 47]",2
182,"[44, 48, 3, 5]",1
183,"[47, 2, 0, 51]",3
184,"[47, 49, 4, 0]",1
185,"[49, 49, 0, 2]",0
186,"[1, 47, 47, 5]",1
187,"[51, 0, 2, 47]",0
188,"[4, 47, 49, 0]",2
189,"[52, 0, 2, 46]",0
190,"[0, 44, 51, 5]",2
191,"[49, 2, 0, 49]",0
192,"[0, 49, 4, 47]",1
193,"[49, 2, 49, 0]",0
194,"[0, 49, 51, 0]",2
195,"[48, 49, 0, 3]",1
196,"[51, 5, 0, 44]",0
197,"[49, 48, 3, 0]",0
198,"[0, 51, 49, 0]",1
199,"[3, 1, 49, 47]",2
